City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,-8.01,76,6,3.65,clear sky
1,Namibe,AO,-15.1961,12.1522,70.86,75,30,7.23,scattered clouds
2,Mazamari,PE,-11.3258,-74.5308,68.04,98,64,1.63,light rain
3,Dikson,RU,73.5069,80.5464,-8.5,97,99,12.24,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,77.56,77,44,10.8,light rain
5,Olafsvik,IS,64.8945,-23.7142,28.67,57,37,7.52,light snow
6,Shimanovsk,RU,52.0,127.7,4.48,70,17,9.78,few clouds
7,Thompson,CA,55.7435,-97.8558,-14.31,90,20,8.52,few clouds
8,Leningradskiy,RU,69.3833,178.4167,-13.61,90,42,9.66,scattered clouds
9,East London,ZA,-33.0153,27.9116,74.82,90,82,10.47,light rain
10,Bredasdorp,ZA,-34.5322,20.0403,70.29,58,0,13.69,clear sky
11,Hobart,AU,-42.8794,147.3294,64.06,64,40,1.01,scattered clouds
12,Cape Town,ZA,-33.9258,18.4232,66.61,88,75,5.75,moderate rain
13,Botou,CN,38.0667,116.5667,39.56,26,0,5.93,clear sky
14,Atuona,PF,-9.8,-139.0333,78.89,75,91,17.87,overcast clouds
15,New Norfolk,AU,-42.7826,147.0587,62.71,53,91,4.0,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,40.66,56,75,14.97,broken clouds
17,Busselton,AU,-33.65,115.3333,94.05,32,84,8.79,broken clouds
18,Yulara,AU,-25.2406,130.9889,75.04,43,100,13.8,overcast clouds
19,Bethel,US,41.3712,-73.414,39.25,92,100,1.23,overcast clouds
20,Tiksi,RU,71.6872,128.8694,-5.26,96,99,7.27,overcast clouds
21,Kaitangata,NZ,-46.2817,169.8464,53.53,93,100,3.49,overcast clouds
22,Pisco,PE,-13.7,-76.2167,66.02,90,12,0.94,few clouds
23,Mataura,NZ,-46.1927,168.8643,57.47,66,100,5.06,light rain
24,Rancho Palos Verdes,US,33.7445,-118.387,59.52,28,0,4.0,clear sky
25,Anzhero-Sudzhensk,RU,56.081,86.0285,15.46,91,89,6.53,overcast clouds
26,Honningsvag,NO,70.9821,25.9704,20.95,93,20,2.3,few clouds
27,Nokaneng,BW,-19.6667,22.2667,74.88,67,3,6.46,clear sky
28,Arraial Do Cabo,BR,-22.9661,-42.0278,74.91,88,98,3.91,overcast clouds
29,Lompoc,US,34.6391,-120.4579,53.42,52,0,3.44,clear sky
30,Nyrob,RU,60.733,56.7202,21.99,95,100,8.01,overcast clouds
31,Port-Gentil,GA,-0.7193,8.7815,80.55,79,100,11.3,overcast clouds
32,Esperance,AU,-33.8667,121.9,76.48,50,20,22.19,few clouds
33,Berlevag,NO,70.8578,29.0864,14.0,66,100,14.85,light snow
34,Saskylakh,RU,71.9167,114.0833,-32.71,100,18,2.19,few clouds
35,Nikolskoye,RU,59.7035,30.7861,19.29,98,95,1.34,overcast clouds
36,Camana,PE,-16.6228,-72.7111,70.39,85,69,7.9,broken clouds
37,Palmer,US,42.1584,-72.3287,40.86,85,100,6.91,mist
38,Baruun-Urt,MN,46.6806,113.2792,2.61,69,18,6.04,few clouds
39,Provideniya,RU,64.3833,-173.3,4.62,62,100,23.17,overcast clouds
40,Tuktoyaktuk,CA,69.4541,-133.0374,-14.75,97,100,10.33,overcast clouds
41,Butaritari,KI,3.0707,172.7902,81.91,77,100,14.25,light rain
42,Minsk,BY,53.9,27.5667,24.55,94,76,10.13,broken clouds
43,Longyearbyen,SJ,78.2186,15.6401,13.84,67,0,20.71,clear sky
44,Esso,RU,55.9333,158.7,10.0,98,93,3.33,overcast clouds
45,Bluff,NZ,-46.6,168.3333,57.79,62,100,16.69,overcast clouds
46,Port Alfred,ZA,-33.5906,26.891,73.06,89,95,10.83,overcast clouds
47,Lavrentiya,RU,65.5833,-171.0,3.09,60,1,24.83,clear sky
48,Castro,BR,-24.7911,-50.0119,62.46,97,50,6.71,scattered clouds
49,Bosaso,SO,11.2842,49.1816,76.37,59,3,4.27,clear sky
50,Santa Isabel,BR,-23.3156,-46.2214,69.66,99,100,1.72,overcast clouds
51,Verkhoyansk,RU,67.5447,133.385,-30.62,99,99,1.19,overcast clouds
52,Saldanha,ZA,-33.0117,17.9442,66.38,81,0,10.6,clear sky
53,Cap Malheureux,MU,-19.9842,57.6142,78.48,91,100,20.0,moderate rain
54,Khatanga,RU,71.9667,102.5,-33.75,99,33,1.77,scattered clouds
55,Kruisfontein,ZA,-34.0033,24.7314,70.88,73,97,9.4,overcast clouds
56,Kapaa,US,22.0752,-159.319,71.11,59,21,2.71,few clouds
57,Carnarvon,AU,-24.8667,113.6333,88.39,56,3,15.9,clear sky
58,Punta Arenas,CL,-53.15,-70.9167,42.12,70,69,4.68,broken clouds
59,Yellowknife,CA,62.456,-114.3525,-29.58,82,37,8.01,scattered clouds
60,Portobelo,PA,9.55,-79.65,76.82,84,34,10.51,scattered clouds
61,Takoradi,GH,4.8845,-1.7554,77.25,82,50,4.7,scattered clouds
62,Avarua,CK,-21.2078,-159.775,80.65,83,40,12.66,scattered clouds
63,Tasiilaq,GL,65.6145,-37.6368,8.76,63,93,7.78,overcast clouds
64,Souillac,MU,-20.5167,57.5167,78.37,92,100,26.04,moderate rain
65,Guimar,ES,28.3039,-16.4325,67.78,69,100,1.01,moderate rain
66,Torbay,CA,47.6666,-52.7314,27.27,87,20,4.0,few clouds
67,Krasnyy Chikoy,RU,50.3643,108.7512,9.7,86,100,3.24,overcast clouds
68,Batticaloa,LK,7.7102,81.6924,80.44,62,55,3.09,broken clouds
69,Zhenjiang,CN,32.2092,119.4342,43.81,61,89,5.99,light rain
70,Brookhaven,US,31.5791,-90.4407,64.06,99,100,5.88,overcast clouds
71,Vaini,TO,-21.2,-175.2,84.36,79,20,4.61,few clouds
72,Quatre Cocos,MU,-20.2078,57.7625,78.1,93,100,26.87,moderate rain
73,Gamba,GA,-2.65,10.0,76.28,86,100,4.38,light rain
74,Cockburn Town,TC,21.4612,-71.1419,74.26,77,73,19.24,broken clouds
75,Ambovombe,MG,-25.1667,46.0833,80.74,57,0,13.44,clear sky
76,Guerrero Negro,MX,27.9769,-114.0611,57.2,30,0,8.72,clear sky
77,Qaanaaq,GL,77.484,-69.3632,-12.06,78,100,7.29,overcast clouds
78,Zeya,RU,53.75,127.2667,5.34,52,38,7.78,scattered clouds
79,Laguna De Perlas,NI,12.3429,-83.6712,74.5,81,8,5.48,clear sky
80,Sistranda,NO,63.7256,8.834,31.89,73,96,13.73,overcast clouds
81,Consuegra,ES,39.4625,-3.608,39.07,64,87,2.66,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,74.55,92,3,5.99,clear sky
83,Albany,US,42.6001,-73.9662,44.8,85,100,3.22,overcast clouds
84,Rabo De Peixe,PT,37.8,-25.5833,59.27,95,20,10.36,few clouds
85,Darhan,MN,49.4867,105.9228,4.41,80,82,4.41,broken clouds
86,Bundaberg,AU,-24.85,152.35,85.21,76,100,5.99,overcast clouds
87,Sao Filipe,CV,14.8961,-24.4956,73.24,74,0,10.71,clear sky
88,Pangkalanbuun,ID,-2.6833,111.6167,87.89,63,99,1.54,light rain
89,Chokurdakh,RU,70.6333,147.9167,-25.29,98,59,6.42,broken clouds
90,Sinnamary,GF,5.3833,-52.95,76.87,84,91,9.1,overcast clouds
91,Hofn,IS,64.2539,-15.2082,29.32,67,100,15.19,overcast clouds
92,Kawerau,NZ,-38.1,176.7,73.09,70,94,5.61,overcast clouds
93,Bambous Virieux,MU,-20.3428,57.7575,78.22,92,100,28.45,moderate rain
94,Jamestown,US,42.097,-79.2353,40.32,71,100,3.0,mist
95,Acapulco,MX,16.8634,-99.8901,73.33,76,0,5.82,clear sky
96,Goundam,ML,16.4145,-3.6708,60.78,16,52,10.54,broken clouds
97,Abu Samrah,SY,35.3029,37.1841,48.63,54,38,9.6,scattered clouds
98,Yershichi,RU,53.6725,32.7542,25.12,97,100,5.41,snow
99,Saint Anthony,US,45.0205,-93.218,-1.07,64,0,4.0,clear sky
100,Rio De Janeiro,BR,-22.9028,-43.2075,77.92,92,100,2.35,overcast clouds
101,Dilla,ET,6.41,38.31,72.46,40,98,2.44,overcast clouds
102,Manyana,BW,-23.4,21.7167,71.02,77,98,7.4,overcast clouds
103,Hermanus,ZA,-34.4187,19.2345,70.81,76,13,16.93,light rain
104,El Cope,PA,8.6167,-80.6,64.17,90,9,5.44,clear sky
105,Hilo,US,19.7297,-155.09,70.79,93,45,3.31,scattered clouds
106,Jalingo,NG,8.8833,11.3667,67.44,24,49,4.34,scattered clouds
107,Acari,PE,-15.4311,-74.6158,72.25,80,25,3.27,scattered clouds
108,Lashio,MM,22.9333,97.75,73.2,27,0,2.89,clear sky
109,Portland,US,45.5234,-122.6762,45.63,95,100,3.0,light rain
110,Mazagao,BR,-0.115,-51.2894,77.05,99,100,2.77,light rain
111,Campo Grande,BR,-20.4428,-54.6464,72.95,94,40,13.8,scattered clouds
112,Grand Gaube,MU,-20.0064,57.6608,78.39,91,100,20.0,moderate rain
113,Ancud,CL,-41.8697,-73.8203,54.93,91,76,2.15,broken clouds
114,Santa Lucia,ES,27.9117,-15.5407,64.76,73,0,14.97,clear sky
115,Sanchazi,CN,42.0817,126.6003,13.39,66,67,10.27,broken clouds
116,Dourbali,TD,11.8091,15.8632,60.4,16,5,8.93,clear sky
117,Saint-Philippe,RE,-21.3585,55.7679,80.19,94,100,35.23,heavy intensity rain
118,Grootfontein,NA,-19.5667,18.1167,67.57,53,8,7.81,clear sky
119,Waingapu,ID,-9.6567,120.2641,87.57,63,75,16.2,broken clouds
120,Mattru,SL,7.6244,-11.8332,71.78,95,70,1.25,broken clouds
121,Scarborough,GB,54.2797,-0.4044,48.07,88,100,5.01,overcast clouds
122,San Patricio,US,28.017,-97.5169,60.66,84,100,19.53,light rain
123,Lebu,CL,-37.6167,-73.65,57.42,95,54,8.68,broken clouds
124,Abu Kamal,SY,34.4506,40.9171,51.28,46,99,14.58,overcast clouds
125,Angoram,PG,-4.0625,144.0661,77.86,87,92,3.65,overcast clouds
126,Port Elizabeth,ZA,-33.918,25.5701,73.09,78,95,11.27,overcast clouds
127,Eureka,US,40.8021,-124.1637,49.19,80,41,1.01,scattered clouds
128,Sakakah,SA,29.9697,40.2064,54.27,39,75,7.61,broken clouds
129,Boa Vista,BR,2.8197,-60.6733,78.78,69,40,10.36,scattered clouds
130,Tierralta,CO,8.1736,-76.0592,73.96,94,53,4.16,broken clouds
131,Northam,GB,51.0333,-4.2167,46.62,96,100,10.2,overcast clouds
132,Port Hardy,CA,50.6996,-127.4199,41.76,93,100,12.66,overcast clouds
133,Corowa,AU,-36.0333,146.3833,74.57,26,0,21.92,clear sky
134,Llangefni,GB,53.2556,-4.3106,48.65,93,100,13.8,overcast clouds
135,Shelburne,CA,44.0787,-80.2041,23.9,95,100,12.91,overcast clouds
136,Ongandjera,NA,-17.8833,15.0667,68.65,52,21,6.91,few clouds
137,Cardoso,BR,-20.0819,-49.9142,70.48,95,98,5.12,overcast clouds
138,Arkhangelsk,RU,64.5401,40.5433,6.91,84,75,0.0,broken clouds
139,Kundiawa,PG,-6.0167,144.9667,70.0,78,99,1.97,overcast clouds
140,Kavieng,PG,-2.5744,150.7967,81.5,76,100,13.62,light rain
141,Oshawa,CA,43.9001,-78.8496,28.2,90,100,16.11,light snow
142,Maridi,SS,4.9158,29.4742,79.23,20,95,5.59,overcast clouds
143,Zhigansk,RU,66.7697,123.3711,-23.35,100,78,5.06,broken clouds
144,Bud,US,39.447,-86.1758,30.24,94,100,13.96,light snow
145,Coquimbo,CL,-29.9533,-71.3436,63.28,85,11,1.3,few clouds
146,Thunder Bay,CA,48.4001,-89.3168,-7.44,64,0,5.75,clear sky
147,Rawson,AR,-43.3002,-65.1023,68.85,42,53,9.82,broken clouds
148,Christchurch,NZ,-43.5333,172.6333,67.91,82,100,8.01,overcast clouds
149,Kattivakkam,IN,13.2167,80.3167,86.09,66,0,7.56,clear sky
150,Riberalta,BO,-10.9833,-66.1,70.63,96,79,2.37,broken clouds
151,Juegang,CN,32.3174,121.1855,48.97,53,74,10.45,broken clouds
152,Etchoropo,MX,26.7667,-109.6667,60.42,65,73,3.38,broken clouds
153,Fuzhou,CN,26.0614,119.3061,50.22,93,100,2.28,light rain
154,Corn Island,NI,12.1694,-83.0418,79.56,74,10,11.1,clear sky
155,Dingle,PH,10.9995,122.6711,83.55,71,75,14.23,broken clouds
156,Safaga,EG,26.7292,33.9365,64.56,40,4,10.04,clear sky
157,Namatanai,PG,-3.6667,152.4333,78.39,86,100,10.31,moderate rain
158,Slobodskoy,RU,58.7322,50.1772,9.05,99,100,3.87,light snow
159,Eyl,SO,7.9803,49.8164,79.09,58,17,21.61,few clouds
160,Kantang,TH,7.4054,99.5156,89.6,54,39,7.47,scattered clouds
161,Severo-Kurilsk,RU,50.6789,156.125,30.42,80,100,11.52,overcast clouds
162,Hobyo,SO,5.3505,48.5268,79.66,66,100,19.6,overcast clouds
163,Ola,RU,59.5833,151.2833,9.52,75,100,11.74,overcast clouds
164,Beloha,MG,-25.1667,45.05,83.93,40,0,11.54,clear sky
165,Amapa,BR,1.0,-52.0,70.74,99,100,1.16,overcast clouds
166,Guayaramerin,BO,-10.8368,-65.3614,70.3,98,61,2.35,broken clouds
167,Saint George,US,37.1041,-113.5841,35.64,27,0,3.0,clear sky
168,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,79,61,8.75,broken clouds
169,Chernyshevskiy,RU,63.0128,112.4714,-6.3,93,94,2.53,overcast clouds
170,Georgetown,MY,5.4112,100.3354,89.89,66,20,1.01,few clouds
171,Maryville,US,35.7565,-83.9705,51.08,94,90,3.0,light rain
172,Wajima,JP,37.4,136.9,37.56,74,93,16.84,overcast clouds
173,Lorengau,PG,-2.0226,147.2712,79.21,82,100,8.37,light rain
174,Aqtobe,KZ,50.2797,57.2072,17.69,79,100,11.18,overcast clouds
175,Huambo,AO,-12.7761,15.7392,62.56,80,66,3.24,broken clouds
176,Shelton,US,41.3165,-73.0932,40.64,87,100,1.99,mist
177,Trairi,BR,-3.2778,-39.2689,74.93,92,100,5.73,overcast clouds
178,Talara,PE,-4.5772,-81.2719,72.75,73,76,12.53,broken clouds
179,Vao,NC,-22.6667,167.4833,80.11,73,66,7.23,broken clouds
180,Balkanabat,TM,39.5108,54.3671,55.94,27,33,7.94,scattered clouds
181,Xai-Xai,MZ,-25.0519,33.6442,83.03,61,17,6.29,few clouds
182,Mackenzie,CA,55.2999,-123.1698,5.95,97,100,1.45,light snow
183,Kalmunai,LK,7.4167,81.8167,81.75,61,55,5.39,broken clouds
184,Barrow,US,71.2906,-156.7887,-23.78,76,0,6.91,clear sky
185,Huanren,CN,41.2647,125.3667,19.99,43,4,6.29,clear sky
186,Mount Isa,AU,-20.7333,139.5,85.77,62,75,18.41,broken clouds
187,Yerbogachen,RU,61.2767,108.0108,4.39,92,100,7.16,overcast clouds
188,Belfast,GB,54.5833,-5.9333,48.02,87,100,12.66,overcast clouds
189,Srednekolymsk,RU,67.45,153.6833,-29.69,99,80,0.89,broken clouds
190,El Alto,PE,-4.2714,-81.2147,72.12,66,72,15.35,broken clouds
191,Pangnirtung,CA,66.1451,-65.7125,6.66,95,100,5.26,light snow
192,Talnakh,RU,69.4865,88.3972,-9.0,98,100,6.85,overcast clouds
193,Naifaru,MV,5.4444,73.3657,81.72,70,20,7.99,few clouds
194,Secunda,ZA,-26.55,29.1667,74.3,81,1,4.0,clear sky
195,Talcahuano,CL,-36.7167,-73.1167,56.84,93,59,2.82,broken clouds
196,Amahai,ID,-3.3333,128.9167,84.09,69,100,5.32,overcast clouds
197,Vila,PT,42.0304,-8.1588,41.88,75,100,3.74,overcast clouds
198,Bandarbeyla,SO,9.4942,50.8122,78.66,58,19,19.86,few clouds
199,Faanui,PF,-16.4833,-151.75,81.23,77,10,19.71,clear sky
200,Port Augusta,AU,-32.5,137.7667,85.71,36,0,19.64,clear sky
201,Mar Del Plata,AR,-38.0023,-57.5575,71.1,82,100,11.99,moderate rain
202,Likasi,CD,-10.9814,26.7333,63.59,97,100,1.7,light rain
203,Mandalgovi,MN,45.7625,106.2708,10.62,59,0,14.16,clear sky
204,Pavlivka,UA,49.4414,28.4596,26.89,91,98,14.29,overcast clouds
205,Kirakira,SB,-10.4544,161.9205,80.22,87,99,10.51,moderate rain
206,Komsomolets,KZ,53.7453,62.0708,18.1,89,76,10.65,broken clouds
207,Denpasar,ID,-8.65,115.2167,87.46,70,20,8.05,few clouds
208,Erenhot,CN,43.6475,111.9767,7.18,69,6,6.98,clear sky
209,Querfurt,DE,51.3833,11.6,40.62,91,100,7.56,light rain
210,Ambon,ID,-3.6954,128.1814,89.74,58,40,3.44,scattered clouds
211,Victoria,HK,22.2855,114.1577,60.24,80,100,1.99,overcast clouds
212,Abu Dhabi,AE,24.4667,54.3667,69.82,68,0,5.75,clear sky
213,Atambua,ID,-9.1061,124.8925,78.78,79,83,9.31,broken clouds
214,Bengkulu,ID,-3.8004,102.2655,85.82,62,77,7.83,broken clouds
215,Virginia Beach,US,36.8529,-75.978,42.12,95,75,3.44,mist
216,Afsin,TR,38.2477,36.914,29.57,95,98,1.77,overcast clouds
217,Nouakchott,MR,18.0858,-15.9785,66.13,32,0,11.27,clear sky
218,La Cruz,MX,23.9167,-106.9,63.1,59,100,3.78,overcast clouds
219,Itoman,JP,26.1247,127.6694,64.78,100,75,14.97,light intensity shower rain
220,Broken Hill,AU,-31.95,141.4333,78.19,23,0,22.39,clear sky
221,Kargopol,RU,61.5071,38.9456,7.99,99,100,2.66,overcast clouds
222,Storforshei,NO,66.4043,14.5233,17.38,53,0,11.5,clear sky
223,Jumla,NP,29.2747,82.1838,40.33,83,92,7.2,light rain
224,Nichinan,JP,31.6,131.3667,44.76,84,100,5.1,light rain
225,Castries,LC,13.9957,-61.0061,77.07,80,9,12.37,light rain
226,Willmar,US,45.1219,-95.0433,-7.91,70,0,4.61,clear sky
227,Kodiak,US,57.79,-152.4072,38.71,87,100,10.36,moderate rain
228,Hasaki,JP,35.7333,140.8333,52.2,37,85,4.74,overcast clouds
229,Airai,TL,-8.9266,125.4092,72.64,63,84,5.55,broken clouds
230,Angoche,MZ,-16.2325,39.9086,80.22,76,69,4.61,broken clouds
231,Ganzhou,CN,28.8184,115.4327,40.71,83,98,3.42,overcast clouds
232,Upernavik,GL,72.7868,-56.1549,-8.25,65,100,8.1,overcast clouds
